departure location: 36-363 or 377-962
departure station: 29-221 or 234-953
departure platform: 39-585 or 595-954
departure track: 31-727 or 753-952
departure date: 33-862 or 883-964
departure time: 35-716 or 722-971
arrival location: 32-59 or 74-955
arrival station: 41-330 or 353-963
arrival platform: 28-883 or 894-964
arrival track: 26-669 or 691-974
class: 43-250 or 261-966
duration: 48-521 or 533-974
price: 48-100 or 107-971
route: 47-757 or 777-971
row: 38-629 or 637-961
seat: 43-310 or 330-949
train: 27-560 or 566-957
type: 50-433 or 457-963
wagon: 35-898 or 907-957
zone: 48-354 or 362-961

your ticket:
89,179,173,167,157,127,163,113,137,109,151,131,97,149,107,83,79,139,59,53

nearby tickets:
930,274,273,471,282,613,191,559,820,795,291,215,11,172,813,204,182,218,159,779
81,669,601,495,234,883,59,55,542,924,423,101,610,379,378,135,89,833,514,266
838,481,554,215,129,648,217,990,595,844,100,203,917,417,399,551,715,133,425,897
497,157,897,300,141,622,497,126,755,102,617,269,110,549,843,500,86,659,410,99
423,628,219,414,466,781,425,355,512,700,483,92,542,778,596,160,821,605,296,235
903,620,949,628,285,534,714,619,838,487,834,914,861,815,420,480,854,457,87,301
571,704,828,327,412,930,856,516,648,694,483,399,77,512,568,941,89,182,638,79
91,198,665,617,945,795,799,521,223,432,606,910,602,93,807,848,90,354,237,165
488,135,309,77,857,249,171,11,297,574,712,654,120,240,392,310,823,239,573,798
320,649,362,125,551,408,834,645,98,264,162,309,457,285,644,139,559,666,112,710
280,813,124,91,488,290,836,808,473,533,206,622,389,269,492,908,8,929,603,396
107,288,823,462,215,789,76,408,590,145,381,716,915,693,726,418,781,291,213,141
712,838,172,912,649,57,514,939,923,990,91,783,153,575,382,566,220,385,668,300
121,814,183,380,109,74,654,266,428,777,193,183,533,544,814,120,195,563,216,560
431,172,97,540,310,910,212,697,386,707,671,421,778,484,107,396,208,713,577,74
596,173,850,176,538,533,155,788,125,926,793,720,692,816,651,150,409,482,117,175
213,124,240,714,396,567,366,161,896,172,408,907,723,783,601,935,598,502,656,722
134,124,167,649,856,284,510,400,198,582,521,555,860,127,6,470,657,391,538,583
88,394,912,778,400,717,521,479,913,836,501,820,585,791,170,601,136,625,621,777
416,243,299,194,920,421,843,429,288,76,308,391,292,51,763,786,661,420,832,150
266,585,694,214,515,652,163,406,601,604,291,539,274,167,787,79,897,816,8,486
101,559,123,910,286,553,505,912,556,613,645,922,55,120,931,411,934,289,237,857
841,580,837,493,696,59,154,173,464,460,939,643,865,467,483,408,617,558,606,382
6,638,939,362,270,89,462,533,113,143,858,612,936,663,411,508,271,809,271,203
276,702,653,560,276,567,239,289,127,563,116,567,851,400,461,724,245,132,426,282
299,490,266,129,568,420,817,495,645,423,136,283,50,816,239,695,840,3,946,461
78,283,930,545,191,218,427,830,725,567,329,308,235,600,499,560,792,392,244,306
930,55,659,416,89,913,320,579,660,643,516,949,133,116,389,509,294,827,394,710
562,807,841,494,191,146,289,182,576,50,394,935,600,184,820,298,459,655,123,645
803,89,608,113,679,844,817,617,839,938,946,282,81,266,853,269,89,178,813,151
287,787,513,660,810,580,210,712,646,486,230,165,949,145,791,693,782,862,395,545
157,205,919,142,362,382,922,297,552,382,479,269,666,94,270,184,759,614,791,609
221,180,127,704,500,211,931,320,509,153,469,805,944,189,619,554,497,700,861,107
819,413,710,396,387,919,350,295,727,663,220,708,945,508,154,667,641,546,164,851
684,217,297,177,536,166,164,469,786,600,603,461,77,692,855,211,153,209,838,128
896,244,467,619,498,419,521,798,455,491,119,467,235,310,405,517,515,648,294,700
470,811,605,566,487,870,780,614,261,823,458,419,698,142,502,235,220,188,279,625
615,814,89,467,495,166,53,753,756,476,860,736,552,585,408,516,913,578,605,938
97,691,842,287,201,363,942,509,507,638,779,363,946,930,853,125,97,775,916,813
354,558,542,695,427,132,720,205,618,428,461,112,647,822,846,584,799,272,57,245
476,929,261,694,391,709,533,906,503,709,846,618,235,183,431,462,800,135,725,842
928,197,512,331,568,826,131,406,184,520,283,854,384,896,145,555,468,200,190,617
842,759,579,165,291,479,503,623,500,500,403,617,126,648,307,94,175,405,423,183
131,104,493,620,814,244,543,286,155,579,205,923,171,215,145,143,498,430,381,552
639,898,570,81,363,858,831,546,422,776,300,659,396,170,134,654,817,519,250,852
468,824,469,563,710,85,401,303,412,490,204,459,417,533,363,613,133,537,143,393
122,452,389,831,839,801,556,498,827,211,850,480,856,716,304,89,467,117,267,272
247,546,94,161,428,392,554,403,643,684,508,243,943,755,519,414,113,847,629,473
481,203,304,362,507,163,300,806,482,546,710,875,600,500,426,608,488,241,91,485
220,860,907,789,921,89,387,396,382,784,91,569,528,277,642,109,580,949,81,642
516,895,777,842,166,640,433,147,400,394,897,15,419,861,723,825,691,508,652,148
658,241,203,607,659,759,843,151,616,418,499,825,192,925,196,330,693,848,920,691
128,983,136,521,243,420,172,787,851,809,553,810,198,655,189,77,883,624,572,243
652,843,119,404,537,220,217,195,657,8,925,604,136,704,491,154,572,464,753,819
778,272,56,399,393,858,822,664,796,838,700,313,182,496,302,117,846,624,804,403
93,298,381,161,200,465,825,143,309,571,625,618,949,464,175,768,823,380,598,668
515,211,754,396,239,430,265,831,204,299,948,234,273,57,113,913,125,11,553,694
250,826,779,895,807,704,133,89,622,753,624,372,152,380,149,555,783,627,667,135
426,74,668,697,173,932,784,425,415,598,514,790,655,825,272,855,386,348,584,489
558,580,354,489,669,263,837,618,655,808,583,153,326,84,842,145,111,928,936,661
647,391,551,778,124,381,819,620,368,642,238,491,699,149,715,308,907,613,908,505
756,234,553,131,854,816,496,549,205,783,949,550,741,205,489,573,481,646,287,553
830,191,943,271,157,498,386,266,555,162,259,709,480,489,248,401,911,843,661,779
711,582,387,395,218,108,405,780,124,943,153,556,806,609,77,483,127,584,843,5
707,912,54,393,791,112,707,534,357,665,503,86,811,391,402,414,432,378,214,695
150,78,442,131,149,51,427,131,95,173,130,929,808,268,704,536,238,573,77,714
520,491,896,100,600,631,786,152,927,836,945,465,516,843,937,220,663,202,713,548
51,266,582,497,469,791,11,274,826,654,208,164,946,124,485,846,213,216,479,290
176,830,581,816,363,516,357,695,650,820,246,498,221,803,862,595,778,818,98,856
948,98,698,918,583,701,292,460,221,1,813,661,654,501,462,408,503,382,844,235
421,130,462,983,411,133,949,170,642,206,545,806,171,940,755,144,918,87,556,577
648,215,651,614,463,238,281,653,753,211,293,398,784,919,160,430,929,124,340,96
825,474,380,239,159,943,485,854,166,694,718,114,57,627,799,81,724,823,212,245
167,929,798,579,835,278,591,629,276,919,194,174,221,860,309,280,487,380,79,386
882,182,265,281,384,149,787,603,642,700,723,202,57,652,753,115,221,172,909,919
791,651,330,379,940,806,850,871,482,819,654,945,627,156,156,706,249,813,187,780
213,208,850,263,706,451,804,787,797,819,393,809,836,542,303,246,474,477,651,610
247,485,577,827,615,640,86,365,647,405,928,74,850,207,712,147,613,644,176,660
207,703,486,11,723,416,655,936,807,154,165,503,556,302,934,175,504,282,485,420
640,85,458,490,577,271,202,662,694,293,378,999,485,430,55,428,826,575,193,190
295,820,247,458,205,814,727,658,480,129,451,433,613,644,267,652,553,294,809,285
844,149,416,508,711,397,296,330,216,939,485,645,62,417,161,87,726,160,165,575
279,816,570,240,929,808,851,309,637,268,463,120,661,14,716,272,569,779,585,263
883,502,363,176,221,357,623,834,611,174,202,547,307,581,464,388,474,100,215,663
76,429,157,469,818,512,134,594,403,596,310,938,140,856,491,208,567,840,701,495
491,927,809,195,479,538,932,554,934,911,423,716,154,814,637,97,97,0,168,397
481,51,769,810,848,119,797,554,89,53,155,629,509,578,664,108,275,622,457,854
603,250,550,192,785,89,143,145,900,571,546,429,841,77,158,578,654,726,839,478
144,927,802,765,793,77,553,459,549,388,427,608,149,202,167,395,554,754,938,647
358,521,143,854,151,86,709,940,716,637,693,167,639,945,855,458,97,796,161,419
791,927,220,667,757,949,263,122,815,581,404,509,369,793,580,149,809,487,646,584
176,753,918,58,918,566,646,239,615,816,993,383,135,534,95,81,627,663,815,502
307,493,249,627,512,537,462,836,286,19,79,819,501,94,659,856,243,267,94,221
295,896,554,57,620,409,542,545,340,782,566,833,402,384,539,600,780,597,498,802
306,76,727,695,713,427,215,562,123,610,269,95,186,423,84,657,710,428,200,291
220,140,723,913,779,909,621,941,883,660,415,291,390,910,563,301,520,159,848,540
459,166,653,74,849,110,276,945,856,396,369,709,178,134,161,575,243,463,558,727
852,793,267,713,662,184,656,235,488,945,795,388,717,639,616,710,244,606,854,295
699,541,839,161,418,902,306,281,707,940,219,479,849,199,461,383,777,94,279,582
51,240,607,819,392,501,299,392,710,535,938,118,677,75,691,928,287,79,661,936
194,420,84,828,781,942,924,569,667,723,984,707,916,462,948,839,911,150,269,860
363,333,646,428,568,538,582,691,912,394,580,377,848,363,286,147,841,908,141,382
850,627,550,472,177,112,602,714,319,785,498,160,942,805,472,571,610,402,427,826
95,533,203,214,399,224,895,430,692,858,84,584,165,550,538,96,429,846,464,280
460,209,152,380,437,643,175,416,945,411,712,385,144,568,669,726,788,846,212,57
139,286,291,406,521,426,694,184,910,851,897,112,668,392,521,106,78,897,199,188
81,942,201,569,579,142,112,836,558,165,624,816,803,151,671,112,274,798,459,382
691,472,477,715,115,591,144,803,139,488,249,664,398,188,204,176,911,544,494,846
432,480,822,693,240,476,753,744,810,520,495,411,463,655,168,796,921,722,843,938
838,943,579,629,126,465,78,388,564,795,554,98,201,806,398,804,204,919,239,602
423,557,706,140,489,213,429,585,538,574,558,692,634,603,814,219,115,273,51,138
836,711,115,693,487,117,694,926,609,939,413,198,404,647,485,978,577,291,845,911
159,417,599,786,716,933,418,280,852,734,622,704,467,709,395,650,390,509,546,519
78,693,911,939,104,755,264,577,296,709,483,537,782,894,832,218,780,211,605,55
